srno|code|name|flag|Module_Name
367|POSEnt|Token Entry|0|POS Operations
368|POSEnt|Assign Delivery|1|POS Operations
369|POSReports|POS Reports|1|POS Reports
370|POSRep|Sales Register|1|POS Reports
371|POSRep|Stewardwise Sale|1|POS Reports
372|POSRep|Table wise Sale|1|POS Reports
373|POSRep|Settlement Summary|1|POS Reports
374|POSRep|KOT Wise Details|1|POS Reports
375|POSRep|Discount Register|1|POS Reports
376|POSRep|Cover Analysis|1|POS Reports
377|POSRep|Pending KOT|1|POS Reports
378|POSRep|Item wise Sale|1|POS Reports
379|POSRep|Deleted Unsettled Bill|1|POS Reports
380|POSRep|NC KOT Detail|1|POS Reports
381|POSRep|Sales Day Book|1|POS Reports
382|POSRep|Order Detail Report|1|POS Reports
383|POSRep|NC KOT Summary|1|POS Reports
384|POSRep|Daily DIET Report|1|POS Reports
385|POSRep|Discount Register|1|POS Reports
386|POSRep|Not Delivered Order|1|POS Reports
387|POSRep|Group Wise Sale|1|POS Reports
388|POSRep|Customer Detail|1|POS Reports
389|POSRep|Delivery Status|1|POS Reports
390|POSRep|Denomination Detail|1|POS Reports
391|POSMIS|POS M.I.S.|1|POS M.I.S.
392|MISREP|Collection Summary|1|POS M.I.S.
393|MISREP|Open Item Sales|1|POS M.I.S.
394|MISREP|Void Bills|1|POS M.I.S.
395|MISREP|KOT Change Report|1|POS M.I.S.
396|MISREP|Discount Summary|1|POS M.I.S.
397|MISREP|Monthwise Sales|1|POS M.I.S.
398|MISREP|ABC  Analysis|1|POS M.I.S.
399|MISREP|Sale Summary|1|POS M.I.S.
400|MISREP|Tax Invoice Detail|1|POS M.I.S.
401|MISREP|Edited Bills|1|POS M.I.S.
402|PosTax|Tax Reports|1|Tax Reports
403|PosTaxRep|Tax Report|1|Tax Reports
404|PosTaxRep|Tax Register|1|Tax Reports
405|PosTaxRep|Taxwise Details|1|Tax Reports
406|PosTaxRep|Tax Summary|1|Tax Reports
408|BanqMas|Setup|1|Setup
409|HallEnt|Events|1|Setup
410|HallEnt|Venue Features|0|Setup
411|HallEnt|Venue Master|0|Setup
412|HallEnt|Menu Category|0|Setup
413|HallEnt|Item Group|0|Setup
414|HallEnt|Menu Item|0|Setup
415|HallEnt|Catalog Master|0|Setup
416|HallEnt|Banquet Bill Sundry Setting|0|Setup
417|oper|Operation|0|Operation
418|Hallop|Booking Inquiry|1|Operation
419|Hallop|Banquet Booking|0|Operation
420|Hallop|Catalog Selection|0|Operation
421|Hallop|Chef Pre-Costing|0|Operation
422|Hallop|Banquet Billing|0|Operation
423|Hallop|Banquet Settlement|0|Operation
424|Hallop|Venue Availability|1|Operation
425|Hallop|Guest Comments|0|Operation
426|Hallop|Banquet Estimate Billing|0|Operation
427|Hallop|Banquet Booking Advance|0|Operation
428|HallReport|Reports|1|Reports
429|BanqRep|Sales Register|1|Reports
