VB6 <-> PYTHON PARITY MATRIX
==============================================================================
Generated: _qa/gen_parity_matrix.py (skill: vb6-python-parity)
VB6: *.frm captions + inline-SQL table evidence | Py: shell registry + core/ui scan | DB: live-table probe

STATUS SUMMARY
------------------------------------------------------------------------------
  DONE         158
  PARTIAL      145
  UI-ONLY      0
  BLOCKED-TBL  2
  MISSING      13
  TOTAL        318


==============================================================================
## PARTIAL
==============================================================================

| VB6 form            | Caption                    | Python UI | Core | Wired | Tables (live) |
| FrmComplaintClearing | Complaint Clearance        | YES       | Y    | Y     | ComplaintCategory, ComplaintDetail, Co |
| FrmConsumMast       | Consumption Master         | YES       | Y    | Y     | BOM, Bom, Depart, ItemMast             |
| FrmDataRecieving    | Data Recieving Window . .  | no        | -    | -     |                                        |
|                     | note: Documented skip: Access-MDB transfer; tables absent (VB6 me bhi dead) |
| frmFacilityBillAdv  | Facility Billing           | YES       | Y    | Y     | City, Depart, FMReading, FMReading1, F |
| frmGuestComments    | Guest Comments             | YES       | Y    | Y     | BussSource, CITY, FunctionType, GuestC |
| FrmItemGroupMastRaw | Item Group                 | YES       | Y    | Y     | Depart, ItemGrp                        |
| FrmItemIssuedOnCleaning | Item Issued On Cleaning    | YES       | Y    | Y     | Depart, DepartWiseItemIssueList, Godow |
| FrmItemMast         | Item Entry                 | YES       | Y    | Y     | Item, ItemMast, Itemmast               |
| FrmItemMastRaw      | Item Entry (Raw)           | YES       | Y    | Y     | Depart, Item, ItemCatMast, ItemGrp, It |
| FrmLocationFacilities | Location Facilities        | YES       | Y    | Y     | FacilityMast, LocationFacility, Locati |
| FrmLocationMast     | Location Master            | YES       | -    | Y     | LocationMast                           |
| frmLockGodrejSettings | Godrej Locks               | YES       | -    | Y     | DoorLockEnviro                         |
| FrmMenuList         | Main Menu . . .            | no        | -    | -     |                                        |
|                     | note: Dynamic sidebar (menuHelp tree) — VB6 'Main Menu' ka port |
| frmmessageKey       | Key Massage                | YES       | -    | Y     |                                        |
| frmMod_Print        | Printing Setup             | YES       | Y    | Y     | Depart, PRINTERSETUP, PrintMast, Print |
| frmMod_Print1       | Printing Setup             | YES       | Y    | Y     | Depart, PRINTERSETUP, PrintMast, Print |
| FrmNCType           | NC Type                    | YES       | Y    | Y     | NCTypeMast                             |
| FrmPartyLocations   | Party Locations            | YES       | Y    | Y     | LocationMast, PartyLocation, SubGroup, |
| frmPassword         | Authentication Window      | no        | -    | -     |                                        |
|                     | note: LoginDialog (ui/shell.py) — VB6 authentication window |
| FrmPlanPackMast     | Plan Defination Master     | YES       | Y    | Y     | FixedCharge, Plan1, PlanMast           |
| frmPrintModule      | Printing Parameters        | YES       | Y    | Y     | Depart, PrintFormats, PrintMast, Print |
| frmReNightAudit     | Reverse Night Audit        | YES       | Y    | Y     | enviro                                 |
| FrmReservationStatus | Reservation Status         | YES       | Y    | Y     | Booking, GuestFolio, Paycharge, RoomCa |
| frmSeasonMast       | Season Master              | YES       | Y    | Y     | SeasonMast, SeasonMast1                |
| FrmSerialiseVr      | Voucher Serialisation      | YES       | Y    | Y     | LEDGERM, Ledger, LedgerM, LedgerMMerge |
| frmSessionMast      | Session Master             | YES       | Y    | Y     | SESSIONMAST, SessionMast, Time, sessio |
| FrmSmsCenterSettings | SMS Center Settings        | YES       | Y    | Y     | EmailSMSForward, SMSEnviro             |
| FrmStockTransfer    | Stock Transfer             | YES       | Y    | Y     | Depart, GodownMast, ITEMRATE, ItemMast |
| frmTallyExport      | Tally Export               | YES       | Y    | Y     | AcGroup, Acgroup, City, Ledger, Ledger |
| FrmTaxMast          | Tax Master                 | YES       | Y    | Y     | REVMAST, RevMast, SubGroup, Subgroup,  |
